,Date,Coil,NSNR,NSNR_std,Manufacturer,ManufacturersModelName,InstitutionName,InstitutionalDepartmentName,InstitutionAddress,StationName,ProtocolName,CoilString,ReceiveCoilName,ReceiveCoilActiveElements
0,2021-02-11 19:19:38.930000,CARDIAC_DQA_MR4_20210211191536_20,825.0,94.13217950753217,Philips,Achieva,University_College_London,Radiography_3T_MR,0,PHILIPS-0DIKEI3,CARDIAC_DQA_MR4,MULTI_COIL,0,0
1,2021-02-03 08:54:04.362500,HN_DQA_20210203085222_,1545.0,385.59843763364717,Siemens,Avanto_fit,UCH_Podium_MR2,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
2,2021-02-10 08:07:06.767500,HN_DQA_20210210080546_,684.0,190.57800692122547,Siemens,Avanto_fit,UCLH,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
3,2021-02-11 08:01:38.762500,HN_DQA_20210211080025_,1641.0,469.25411061842334,Siemens,Avanto_fit,UCLH,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
4,2021-02-12 08:05:16.360000,HN_DQA_20210212080340_,1062.0,217.67775249616997,Siemens,Avanto_fit,UCHC,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
5,2021-02-04 08:13:40.392500,HN_DQA_20210204081150_,1761.0,679.0066051157465,Siemens,Avanto_fit,UCH_Podium_MR2,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
6,2021-02-11 18:07:01.170000,NV16_DQA_MR4_20210211180302_20,1512.0,151.22080589130914,Philips,Achieva,University_College_London,Radiography_3T_MR,0,PHILIPS-0DIKEI3,NV16_DQA_MR4,SENSE_NEURO_VASC,0,0
7,2021-02-11 19:00:08.150000,SPINE_DQA,453.0,118.90062757918824,Philips,Achieva,University_College_London,Radiography_3T_MR,0,PHILIPS-0DIKEI3,NV16_DQA_MR4,SENSE_SPINE_15,0,0
8,2021-02-11 19:39:03.530000,TORSO_XL_DQA_MR4_20210211193421_20,604.0,100.90729737660617,Philips,Achieva,University_College_London,Radiography_3T_MR,0,PHILIPS-0DIKEI3,TORSO_XL_DQA_MR4,SENSE_XL_TORSO,0,0
9,2021-02-11 17:43:30.140000,HEAD32_DQA_MR4_20210211171141_50,2060.0,209.20685736680247,Philips,Achieva,University_College_London,Radiography_3T_MR,0,PHILIPS-0DIKEI3,HEAD32_DQA_MR4,MULTI_COIL,0,0
