,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2021-05-11 07:54:55.362500,HN_DQA_20210511075340_00,1468.0,323.758422149198,11.094325280753274,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
1,2021-05-13 08:22:17.355000,HN_DQA_20210513082046_00,1337.0,268.4990966719681,13.263752487088933,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
2,2021-05-14 08:09:22.357500,HN_DQA_20210514080809_00,1218.0,285.2255081297222,12.96030155245151,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCHC,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
3,2021-05-17 08:17:36.365000,HN_DQA_20210517081616_00,1233.0,288.323118375299,12.570931008703672,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
4,2021-05-18 08:03:45.350000,HN_DQA_20210518080215_00,1407.0,310.14359870603664,11.692562183002119,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
5,2021-05-19 07:58:51.335000,HN_DQA_20210519075747_00,1269.0,235.23106572500538,14.275452236469716,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
6,2021-05-12 15:50:54.350000,Head_DQA_2dynamics_20210512154655_20200,1578.0,73.49747500266102,47.89074866502553,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
7,2021-05-12 16:03:17.370000,HN_Head_DQA_2dynamics_20210512155815_20200,1415.0,90.43529979764658,57.5301612141533,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
8,2021-05-18 10:11:32.700000,HN_Head_DQA_2dynamics_20210518095959_20200,1473.0,110.87646325542772,53.79226180221347,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
9,2021-05-12 16:07:19.840000,HN_Neck_DQA_2dynamics_20210512155815_30200,1060.0,98.8158058559833,67.46680047871206,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
10,2021-05-18 10:18:19.890000,HN_Neck_DQA_2dynamics_20210518095959_30200,1081.0,101.30571570341826,67.40777539463352,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
11,2021-05-11 11:42:27.230000,Flex_L_coil_DQA_2dynamics_20210511113610_20200,1158.0,67.63047769541036,40.9795983895878,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
12,2021-05-19 15:57:21.350000,Flex_L_coil_DQA_2dynamics_20210519154606_20200,1172.0,70.72214651147574,41.88450675344562,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
13,2021-05-11 12:00:43.430000,Flex_M_coil_DQA_2dynamics_20210511115103_20200,1099.0,83.12549636553824,41.106567057086195,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
14,2021-05-19 16:35:27.070000,Flex_M_coil_DQA_2dynamics_20210519161346_20200,1138.0,89.59480188894159,39.26635582743934,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
15,2021-05-11 12:13:56.540000,Flex_S_coil_DQA_2dynamics_20210511120731_20200,987.0,98.19339898881533,40.17440751819668,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
16,2021-05-19 16:56:18.940000,Flex_S_coil_DQA_2dynamics_20210519165224_20200,868.0,67.4281060413013,45.76826642724914,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
