,Date,Coil,NSNR,NSNR_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
22,2021-02-24 15:42:23.862500,DQA_Knee18_MR6_20210224142147_02,4888.0,477.9995266160419,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,DQA_Knee18_MR6,TxRx_Knee_18,0,0,0,18K
23,2021-02-24 17:57:16.830000,HN20_DQA_20210224175235_00,2300.0,514.9269627213042,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,HN20_DQA,HeadNeck_20_TCS,0,0,0,HE1-4;NE1_2
24,2021-02-24 18:38:02.877500,HN20_DQA_20210224175235_02,2067.0,449.28994669453004,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,HN20_DQA,HeadNeck_20_TCS,0,0,0,HE1-4;NE1_2
25,2021-02-24 18:05:38.830000,SP1_DQA_20210224175235_00,351.0,240.8405813548889,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,SP1_DQA,Spine_32_RS,0,0,0,SP1
26,2021-02-24 18:32:37.817500,SP1_DQA_20210224175235_02,279.0,191.3664024736983,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,SP1_DQA,Spine_32_RS,0,0,0,SP1
27,2021-02-24 18:13:22.865000,SP2_DQA_20210224175235_00,336.0,218.3673463403663,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,SP2_DQA,Spine_32_RS,0,0,0,SP2
28,2021-02-24 18:28:27.830000,SP2_DQA_20210224175235_01,352.0,231.78259839196585,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,SP2_DQA,Spine_32_RS,0,0,0,SP2
29,2021-02-24 18:18:12.852500,SP3_DQA_20210224175235_01,321.0,214.07125384397114,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,SP3_DQA,Spine_32_RS,0,0,0,SP3
30,2021-02-24 18:24:49.862500,SP3_DQA_20210224175235_01,342.0,230.99441374192014,Siemens,MAGNETOM_Vida,25_Grafton_Way_London_GB_WC1E_6DB,AWP176065,SP3_DQA,Spine_32_RS,0,0,0,SP3
31,2020-07-15 16:19:28.780000,Ant_Post_DQA_2dynamics_20200715160823_40,850.0,222.73816454663938,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Ant_Post_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
32,2020-07-15 16:29:04.870000,Ant_Post_DQA_2dynamics_20200715162653_20,729.0,188.29506660032615,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Ant_Post_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
33,2020-07-15 14:51:25.440000,Flex_coil_DQA_2dynamics_20200715144644_20,1185.0,74.67120972576859,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Flex_coil_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
34,2020-07-15 15:06:46.870000,Flex_coil_DQA_2dynamics_20200715145941_30,997.0,78.13506748294319,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Flex_coil_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
35,2020-07-15 15:23:34.830000,Flex_coil_DQA_2dynamics_20200715151521_40,548.0,45.85991730560243,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Flex_coil_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
36,2020-07-15 15:40:06.570000,HN_Head_DQA_2dynamics_20200715153015_40,1420.0,124.40563200373342,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
37,2020-07-15 15:50:59.370000,HN_Head_DQA_2dynamics_20200715154546_20,1450.0,102.53384866962458,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
38,2020-07-15 15:55:12.780000,HN_Neck_DQA_2dynamics_20200715154546_30,1024.0,101.18208910729793,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
39,2020-08-27 16:41:45.770000,Ant_Post_DQA_2dynamics_20200827163509_20,614.0,171.756310573269,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Ant_Post_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
40,2020-08-27 15:31:45.630000,Flex_L_coil_DQA_2dynamics_20200827152725_20,1642.0,84.06591457759872,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
41,2020-08-27 15:46:53.410000,Flex_M_coil_DQA_2dynamics_20200827153636_20,1582.0,144.48437506661801,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
42,2020-08-27 16:18:01.830000,Flex_S_coil_DQA_2dynamics_200ml_phantom_20200827155146_60,1830.0,203.62002995405786,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics_200ml_phantom,MULTI_COIL,UCLH,MRI,0,0
43,2020-08-27 14:42:52.190000,HN_Head_DQA_2dynamics_20200827143512_20,2183.0,115.84122759102246,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
44,2020-08-27 15:01:44.500000,HN_Head_DQA_2dynamics_20200827145137_20,2092.0,118.82155909605994,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
45,2020-08-27 15:06:10.290000,HN_Neck_DQA_2dynamics_20200827145137_30,1550.0,160.0335541220759,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
46,2020-08-27 15:09:58.510000,HN_Neck_DQA_2dynamics_20200827145137_40,1526.0,171.06379249185088,Philips,Ingenia_Ambition_X,25_Grafton_Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI_COIL,UCLH,MRI,0,0
