,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName,ReceiveCoilName,ReceiveCoilActiveElements
0,2021-10-28 09:44:37.840000,Ant_Post_Coil_A_Lower_DQA_2dynamics_20211028092747_401_000,825.0,200.55942990100715,16.615535736083984,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
1,2021-10-28 09:35:43.110000,Ant_Post_Coil_A_Upper_DQA_2dynamics_20211028092747_201_000,711.0,174.25458877901806,20.322628021240234,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
2,2021-10-28 10:38:06.080000,Ant_Post_Coil_B_Lower_DQA_2dynamics_20211028100651_401_000,797.0,199.0716826837381,16.864124298095703,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
3,2021-10-28 10:12:05.320000,Ant_Post_Coil_B_Upper_DQA_2dynamics_20211028100651_201_000,827.0,206.89872382756172,18.44222068786621,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI,0,0
4,2021-10-28 08:04:06.372500,HN_DQA_20211028080245_00,1534.0,333.485367189083,11.22817533680809,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
5,2021-10-29 08:11:04.382500,HN_DQA_20211028080245_00,499.0,124.12709135600187,30.63281465734677,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCHC,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
6,2021-11-01 08:02:21.357500,HN_DQA_20211101080116_00,1303.0,258.57998235810254,13.781911911006274,Siemens,Avanto_fit,"Euston Road 265-257,London,District,GB,NW1 2BW",MRC25326,HN_DQA,0,UCLH,X-Ray,HeadNeck_20,"HE1-4;NE1,2"
