,Date,Coil,NSNR,NSNR_std,noise_std,Manufacturer,ManufacturersModelName,InstitutionAddress,StationName,ProtocolName,CoilString,InstitutionName,InstitutionalDepartmentName
0,2022-05-19 15:38:52.180,Ant_Post_Coil_A_Lower_DQA_2dynamics_20220519152452_401_000,584.0,145.27773615771548,18.735258102416992,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI
1,2022-05-19 15:30:01.090,Ant_Post_Coil_A_Upper_DQA_2dynamics_20220519152452_201_000,622.0,155.75881547114238,17.99783706665039,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_A_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI
2,2022-05-19 16:06:01.210,Ant_Post_Coil_B_Lower_DQA_2dynamics_20220519154933_401_000,584.0,134.99341100809372,20.39209747314453,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Lower_DQA_2dynamics,MULTI COIL,UCLH,MRI
3,2022-05-19 15:56:22.710,Ant_Post_Coil_B_Upper_DQA_2dynamics_20220519154933_201_000,617.0,137.35318220397727,20.024808883666992,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Ant_Post_Coil_B_Upper_DQA_2dynamics,MULTI COIL,UCLH,MRI
4,2022-05-24 09:13:15.730,Head_DQA_2dynamics_20220524090834_201_000,1087.0,108.73540288996054,80.86530303955078,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Head_DQA_2dynamics,MULTI COIL,UCLH,MRI
5,2022-05-24 09:28:24.540,HN_Head_DQA_2dynamics_20220524092227_201_000,1161.0,66.5062529168369,70.99787139892578,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Head_DQA_2dynamics,MULTI COIL,UCLH,MRI
6,2022-05-24 09:34:01.540,HN_Neck_DQA_2dynamics_20220524092227_301_000,1069.0,104.16706058651678,68.0341567993164,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,HN_Neck_DQA_2dynamics,MULTI COIL,UCLH,MRI
7,2022-05-18 09:41:28.890,Flex_L_coil_DQA_2dynamics_20220518093652_201_000,1169.0,62.79054547586156,44.36550521850586,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
8,2022-05-25 16:09:44.540,Flex_L_coil_DQA_2dynamics_20220525160534_201_000,1091.0,57.90054921260572,39.56731414794922,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_L_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
9,2022-05-18 09:27:33.300,Flex_M_coil_DQA_2dynamics_20220518092323_201_000,1123.0,81.6212273478722,43.08908462524414,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
10,2022-05-25 16:20:25.710,Flex_M_coil_DQA_2dynamics_20220525161631_201_000,983.0,65.1693847795408,40.29818344116211,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_M_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
11,2022-05-18 09:15:28.480,Flex_S_coil_DQA_2dynamics_20220518091132_201_000,948.0,92.62575164892493,43.28831100463867,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
12,2022-05-25 16:32:11.950,Flex_S_coil_DQA_2dynamics_20220525162812_201_000,402.0,36.55530617801234,97.76886749267578,Philips,Ingenia Ambition X,25 Grafton Way,PHILIPS-499QHGT,Flex_S_coil_DQA_2dynamics,MULTI COIL,UCLH,MRI
