,Date,Coil,NSNR,NSNR_std,Manufacturer,ManufacturersModelName,InstitutionName,InstitutionalDepartmentName,InstitutionAddress,StationName,ProtocolName,CoilString,ReceiveCoilName,ReceiveCoilActiveElements
0,2021-02-03 08:54:04.362500,HN_DQA_20210203085222_,1545.0,385.59843763364717,Siemens,Avanto_fit,UCH_Podium_MR2,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
1,2021-02-10 08:07:06.767500,HN_DQA_20210210080546_,684.0,190.57800692122547,Siemens,Avanto_fit,UCLH,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
2,2021-02-11 08:01:38.762500,HN_DQA_20210211080025_,1641.0,469.25411061842334,Siemens,Avanto_fit,UCLH,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
3,2021-02-04 08:13:40.392500,HN_DQA_20210204081150_,1761.0,679.0066051157465,Siemens,Avanto_fit,UCH_Podium_MR2,X-Ray,Euston_Road_265-257_London_District_GB_NW1_2BW,MRC25326,HN_DQA,HE1-4;NE1_2,HeadNeck_20,"HE1-4;NE1,2"
